"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"WebSocket Recv test/ws/chat",623799,841000,1216000,1464000,1615000,2032000,2374000,2720000,2906000,4111000
"WebSocket Sent test/ws/chat",9418,120,130,130,130,140,150,190,250,4600
"WebSocket Recv test/ws/echo",9002,1076000,1669000,1877000,1984000,2360000,2710000,3082000,3122000,3370000
"WebSocket Sent test/ws/echo",9002,130,130,130,130,130,150,180,230,3600
"Total",651221,812000,1195000,1449000,1603000,2023000,2366000,2717000,2907000,4111000
