"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"WebSocket Recv test/ws/chat",58011,9100,20000,27000,31000,39000,43000,44000,45000,56000
"WebSocket Sent test/ws/chat",11622,240,270,310,340,420,580,900,1100,3800
"WebSocket Recv test/ws/echo",11635,1200,1500,1700,1900,2700,3600,5000,6400,49000
"WebSocket Sent test/ws/echo",11636,240,270,300,330,410,560,760,930,4600
"Total",92904,1900,6600,16000,21000,34000,41000,44000,45000,56000
